,Input,Change,Gain,Loss ,Avg Gain,Avg Loss,HM,14-day HMA
0,44.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44.09,-0.25,0.0,0.25,0.0,0.0,0.0,0.0
2,44.15,0.06,0.06,0.0,0.0,0.0,0.0,0.0
3,43.61,-0.54,0.0,0.54,0.0,0.0,0.0,0.0
4,44.33,0.72,0.72,0.0,0.0,0.0,0.0,0.0
5,44.83,0.5,0.5,0.0,0.0,0.0,0.0,0.0
6,45.1,0.27,0.27,0.0,0.0,0.0,0.0,0.0
7,45.42,0.33,0.33,0.0,0.0,0.0,0.0,0.0
8,45.84,0.42,0.42,0.0,0.0,0.0,0.0,0.0
9,46.08,0.24,0.24,0.0,0.0,0.0,0.0,0.0
10,45.89,-0.19,0.0,0.19,0.0,0.0,0.0,0.0
11,46.03,0.14,0.14,0.0,0.0,0.0,0.0,0.0
12,45.61,-0.42,0.0,0.42,0.0,0.0,0.0,0.0
13,46.28,0.67,0.67,0.0,0.0,0.0,0.0,0.0
14,46.28,0.0,0.0,0.0,0.24,0.1,2.39,70.53
15,46.0,-0.28,0.0,0.28,0.22,0.11,1.97,66.32
16,46.03,0.03,0.03,0.0,0.21,0.1,1.99,66.55
17,46.41,0.38,0.38,0.0,0.22,0.1,2.27,69.41
18,46.22,-0.19,0.0,0.19,0.2,0.1,1.97,66.36
19,45.64,-0.58,0.0,0.58,0.19,0.14,1.38,57.97
20,46.21,0.57,0.57,0.0,0.22,0.13,1.7,62.93
21,46.25,0.04,0.04,0.0,0.2,0.12,1.72,63.26
22,45.71,-0.54,0.0,0.54,0.19,0.15,1.28,56.06
23,46.45,0.74,0.74,0.0,0.23,0.14,1.66,62.38
24,45.78,-0.67,0.0,0.67,0.21,0.18,1.21,54.71
25,45.35,-0.43,0.0,0.43,0.2,0.19,1.02,50.42
26,44.03,-1.33,0.0,1.33,0.18,0.27,0.67,39.99
27,44.18,0.15,0.15,0.0,0.18,0.26,0.71,41.46
28,44.22,0.04,0.04,0.0,0.17,0.24,0.72,41.87
29,44.57,0.35,0.35,0.0,0.18,0.22,0.83,45.46
30,43.42,-1.15,0.0,1.15,0.17,0.29,0.59,37.3
31,42.66,-0.76,0.0,0.76,0.16,0.32,0.49,33.08
32,43.13,0.47,0.47,0.0,0.18,0.3,0.61,37.77
